code,description
011,"Cultivos agrícolas transitorios"
012,"Cultivos agrícolas permanentes"
013,"Propagación de plantas (actividades de los viveros, excepto viveros forestales)"
014,"Ganadería"
015,"Explotación mixta (agrícola y pecuaria)"
016,"Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha"
017,"Caza ordinaria y mediante trampas y actividades de servicios conexas"
021,"Silvicultura y otras actividades forestales"
022,"Extracción de madera"
023,"Recolección de productos forestales diferentes a la madera"
024,"Servicios de apoyo a la silvicultura"
031,"Pesca"
032,"Acuicultura"
051,"Extracción de hulla (carbón de piedra)"
052,"Extracción de carbón lignito"
061,"Extracción de petróleo crudo"
062,"Extracción de gas natural"
071,"Extracción de minerales de hierro"
072,"Extracción de minerales metalíferos no ferrosos"
081,"Extracción de piedra, arena, arcillas, cal, yeso, caolín, bentonitas y similares"
082,"Extracción de esmeraldas, piedras preciosas y semipreciosas"
089,"Extracción de otros minerales no metálicos n.c.p."
091,"Actividades de apoyo para la extracción de petróleo y de gas natural"
099,"Actividades de apoyo para otras actividades de explotación de minas y canteras"
101,"Procesamiento y conservación de carne, pescado, crustáceos y moluscos"
102,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos"
103,"Elaboración de aceites y grasas de origen vegetal y animal"
104,"Elaboración de productos lácteos"
105,"Elaboración de productos de molinería, almidones y productos derivados del almidón"
106,"Elaboración de productos de café"
107,"Elaboración de azúcar y panela"
108,"Elaboración de otros productos alimenticios"
109,"Elaboración de alimentos preparados para animales"
110,"Elaboración de bebidas"
120,"Elaboración de productos de tabaco"
131,"Preparación, hilatura, tejeduría y acabado de productos textiles"
139,"Fabricación de otros productos textiles"
141,"Confección de prendas de vestir, excepto prendas de piel"
142,"Fabricación de artículos de piel"
143,"Fabricación de artículos de punto y ganchillo"
151,"Curtido y recurtido de cueros; fabricación de artículos de viaje, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería, adobo y teñido de pieles"
152,"Fabricación de calzado"
161,"Aserrado, acepillado e impregnación de la madera"
162,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles"
163,"Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción"
164,"Fabricación de recipientes de madera"
169,"Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería"
170,"Fabricación de papel, cartón y productos de papel y cartón"
181,"Actividades de impresión y actividades de servicios relacionados con la impresión"
182,"Producción de copias a partir de grabaciones originales"
191,"Fabricación de productos de hornos de coque"
192,"Fabricación de productos de la refinación del petróleo"
201,"Fabricación de sustancias químicas básicas, abonos y compuestos inorgánicos nitrogenados, plásticos y caucho sintético en formas primarias"
202,"Fabricación de otros productos químicos"
203,"Fabricación de fibras sintéticas y artificiales"
210,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
221,"Fabricación de productos de caucho"
222,"Fabricación de productos de plástico"
231,"Fabricación de vidrio y productos de vidrio"
239,"Fabricación de productos minerales no metálicos n.c.p."
241,"Industrias básicas de hierro y de acero"
242,"Industrias básicas de metales preciosos y de metales no ferrosos"
243,"Fundición de metales"
251,"Fabricación de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor"
252,"Fabricación de armas y municiones"
259,"Fabricación de otros productos elaborados de metal y actividades de servicios relacionadas con el trabajo de metales"
261,"Fabricación de componentes y tableros electrónicos"
262,"Fabricación de computadoras y de equipo periférico"
263,"Fabricación de equipos de comunicación"
264,"Fabricación de aparatos electrónicos de consumo"
265,"Fabricación de equipo de medición, prueba, navegación y control; fabricación de relojes"
266,"Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico"
267,"Fabricación de instrumentos ópticos y equipo fotográfico"
268,"Fabricación de medios magnéticos y ópticos para almacenamiento de datos"
271,"Fabricación de motores, generadores y transformadores eléctricos y de aparatos de distribución y control de la energía eléctrica"
272,"Fabricación de pilas, baterías y acumuladores eléctricos"
273,"Fabricación de hilos y cables aislados y sus dispositivos"
274,"Fabricación de equipos eléctricos de iluminación"
275,"Fabricación de aparatos de uso doméstico"
279,"Fabricación de otros tipos de equipo eléctrico n.c.p."
281,"Fabricación de maquinaria y equipo de uso general"
282,"Fabricación de maquinaria y equipo de uso especial"
291,"Fabricación de vehículos automotores y sus motores"
292,"Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques"
293,"Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores"
301,"Construcción de barcos y otras embarcaciones"
302,"Fabricación de locomotoras y de material rodante para ferrocarriles"
303,"Fabricación de aeronaves, naves espaciales y de maquinaria conexa"
304,"Fabricación de vehículos militares de combate"
309,"Fabricación de otros tipos de equipo de transporte n.c.p."
311,"Fabricación de muebles"
312,"Fabricación de colchones y somieres"
321,"Fabricación de joyas, bisutería y artículos conexos"
322,"Fabricación de instrumentos musicales"
