code,name
1,Aporte especial para la administración de justicia
2,Gravamen a los Movimientos Financieros (GMF)
3,Impuesto al Patrimonio
4,Impuesto Sobre la Renta y Complementarios Régimen Tributario Especial
5,Impuesto Sobre la Renta y Complementarios Régimen Ordinario
6,Ingresos y patrimonio
7,Retención en la Fuente a título de renta
8,Retención Timbre Nacional
9,Retención en la Fuente en el Impuesto Sobre las Ventas
10,Obligado aduanero
13,Gran contribuyente
14,Informante de Exógena
15,Autorretenedor
16,Obligación de facturar por ingresos de bienes y/o servicios excluidos
17,Profesionales de compra y venta de divisas
18,Precios de Transferencia
19,Productor y/o exportador de bienes exentos
20,Obtención NIT
21,Declarar el ingreso o salida del país de divisas o moneda legal colombiana
22,Obligado a cumplir deberes formales a nombre de terceros
23,Agente de retención en el impuesto sobre las ventas
26,Declaración Informativa Individual Precios de transferencia
32,Impuesto Nacional a la Gasolina y al ACPM
33,Impuesto Nacional al Consumo
36,Establecimiento Permanente
39,Proveedor de Servicios Tecnológicos (PST)
41,Declaración anual de activos en el exterior
42,Obligado a llevar contabilidad
45,Autorretenedor de rendimientos financieros
46,IVA Prestadores de Servicios desde el Exterior
47,Régimen Simple de Tributación (SIMPLE)
48,Impuesto sobre las ventas (IVA)
49,No responsable de IVA
50,No responsable de Consumo restaurantes y bares
52,Facturador Electrónico
53,Persona Jurídica No Responsable de IVA
54,Intercambio Automático de Información CRS
55,Informante de Beneficiarios Finales
56,Impuesto Nacional al Carbono
58,Intercambio Automático de Información FATCA
59,Autorretención especial renta
60,Autorretención por concepto de intereses y rendimientos financieros de entidades vigiladas por la Superintendencia Financiera de Colombia
61,Autorretención por concepto de comisiones de entidades vigiladas por la Superintendencia Financiera de Colombia
62,Impuesto nacional sobre productos plásticos un solo uso
63,Impuestos a las bebidas ultra procesada azucaradas
64,Impuesto producto comestible ultra procesado industria
65,Renta Presencia económica significativa Colombia - PES
